Individual,Predator,Habitat,prop.agg,prop.flee,prop.crypsis,prop.ring,prop.drop,prop.leaf,prop.nothing,SVL,max.bite.force,normalized.peak.velocity,BirdPC1,SnakePC1,SnakePC2
CcalypA01,Bird,Open,0.5,0,0,0,0,0,0.5,17.5,85.2071,1.431845714,1.72456726,0.36856196,0.587583728
CcalypA01,Bird,Closed,1,0,0,0,0,0,0,17.5,85.2071,1.431845714,1.72456726,0.36856196,0.587583728
CcalypA01,Snake,Open,0.5,0,0,0,0,0,0.5,17.5,85.2071,1.431845714,1.72456726,0.36856196,0.587583728
CcalypA01,Snake,Closed,1,0,0,0,0,0,0,17.5,85.2071,1.431845714,1.72456726,0.36856196,0.587583728
CcalypA02,Bird,Open,0.5,0,0,0,0,0,0.5,22.6,71.884,0.702553097,7.20265119,4.80723559,-1.534807175
CcalypA02,Bird,Closed,0.25,0,0.25,0,0,0,0.5,22.6,71.884,0.702553097,7.20265119,4.80723559,-1.534807175
CcalypA02,Snake,Open,0,0,0,0,0,0,1,22.6,71.884,0.702553097,7.20265119,4.80723559,-1.534807175
CcalypA02,Snake,Closed,0,0,1,0,0,0,0,22.6,71.884,0.702553097,7.20265119,4.80723559,-1.534807175
CcalypA04,Bird,Open,1,0,0,0,0,0,0,19.2,122.873,2.36265625,-0.51724296,-0.29091601,-1.182969352
CcalypA04,Bird,Closed,0.5,0,0,0,0,0,0.5,19.2,122.873,2.36265625,-0.51724296,-0.29091601,-1.182969352
CcalypA04,Snake,Open,1,0,0,0,0,0,0,19.2,122.873,2.36265625,-0.51724296,-0.29091601,-1.182969352
CcalypA04,Snake,Closed,0.25,0,0.5,0,0,0,0.25,19.2,122.873,2.36265625,-0.51724296,-0.29091601,-1.182969352
CcalypA05,Bird,Open,0,0,0,0,0,0,1,21.3,44.1726,0.861352113,-2.29679652,-0.86550054,-1.006875195
CcalypA05,Bird,Closed,0,0,0,0,0,0,1,21.3,44.1726,0.861352113,-2.29679652,-0.86550054,-1.006875195
CcalypA05,Snake,Open,0.5,0,0,0,0,0,0.5,21.3,44.1726,0.861352113,-2.29679652,-0.86550054,-1.006875195
CcalypA05,Snake,Closed,0.25,0,0,0,0,0,0.75,21.3,44.1726,0.861352113,-2.29679652,-0.86550054,-1.006875195
CcalypA08,Bird,Open,0.25,0.25,0,0,0,0,0.5,22.4,68.7455,1.457790179,1.82043453,2.10900729,0.097825251
CcalypA08,Bird,Closed,0,0,0,0,0,0,1,22.4,68.7455,1.457790179,1.82043453,2.10900729,0.097825251
CcalypA08,Snake,Open,0.25,0.5,0,0,0,0,0.25,22.4,68.7455,1.457790179,1.82043453,2.10900729,0.097825251
CcalypA08,Snake,Closed,0.25,0,0,0,0,0,0.75,22.4,68.7455,1.457790179,1.82043453,2.10900729,0.097825251
CcalypA09,Bird,Open,1,0,0,0,0,0,0,22.2,124.964,1.502225225,-0.87727754,-0.52448925,-1.052006668
CcalypA09,Bird,Closed,1,0,0,0,0,0,0,22.2,124.964,1.502225225,-0.87727754,-0.52448925,-1.052006668
CcalypA09,Snake,Open,1,0,0,0,0,0,0,22.2,124.964,1.502225225,-0.87727754,-0.52448925,-1.052006668
CcalypA09,Snake,Closed,1,0,0,0,0,0,0,22.2,124.964,1.502225225,-0.87727754,-0.52448925,-1.052006668
CcalypH01,Bird,Open,0.25,0,0,0.5,0,0,0.25,4.477,1.51518,3.439379048,1.92172052,2.52075032,1.976117001
CcalypH01,Bird,Closed,0,0.75,0,0,0,0,0.25,4.477,1.51518,3.439379048,1.92172052,2.52075032,1.976117001
CcalypH01,Snake,Open,0.25,0.5,0,0.25,0,0,0,4.477,1.51518,3.439379048,1.92172052,2.52075032,1.976117001
