indv,HL,HH,CH,LJL,HW,CW,JW,SVL,mass,max.bite.force,normalized.peak.velocity,peak.velocity.m,peak.velocity.cm
J01,36.9,27.5,15.56,23.37,10.58,11.37,16.49,11.3,26,12.8378,2.559539823,0.289228,28.9228
J02,39.51,29.74,17.45,25.48,11.83,12.52,16.42,11,29,14.4019,2.324472727,0.255692,25.5692
J03,62.51,53.38,33.99,39.2,17.33,23.64,25.65,17.4,89,44.3536,1.271436782,0.22123,22.123
J04,33.71,24.47,13.72,20.64,10.03,10.22,14.33,9.3,16,14.6666,2.593193548,0.241167,24.1167
J05,54.1,43.69,28.75,31.94,14.12,19.48,21.23,13.8,57.5,30.0034,1.346572464,0.185827,18.5827
J06,60.71,46.16,30.28,33.24,15.68,20.65,17.9,15.7,57.5,77.1441,2.865732484,0.44992,44.992
J07,51.05,38.2,23.88,30.16,14.3,14.3,16.85,13.4,44.5,47.5683,2.962462687,0.39697,39.697
J08,51.71,38.26,22.57,31.65,13.3,17.12,18.94,12.9,50,55.1093,2.946387597,0.380084,38.0084
J09,56.92,44.85,27.91,33.11,14.26,15.31,18.66,14.7,47,54.1335,2.679408163,0.393873,39.3873
J10,57.46,44.54,27.61,45.07,13.65,18.53,20.41,15.4,49,26.3659,2.422668831,0.373091,37.3091
A01,68.34,58.08,38.83,39.88,16.86,22.97,26.45,17.5,115,85.2071,1.431845714,0.250573,25.0573
A02,89.12,77.17,52.63,50.6,19.95,33.84,28.49,22.6,136,71.884,0.702553097,0.158777,15.8777
A04,84.64,68.38,48.22,44.02,20.96,27.32,28.72,19.2,111,122.873,2.36265625,0.45363,45.363
A05,83.73,67.85,47.99,45.77,22.59,30.73,27.58,21.3,97,44.1726,0.861352113,0.183468,18.3468
A08,89.5,71.09,50.05,49.39,23.6,29.54,30.63,22.4,166,68.7455,1.457790179,0.326545,32.6545
A09,90.18,62.82,49.29,47.83,20.64,31.6,29.13,22.2,138,124.964,1.502225225,0.333494,33.3494
H01,14.41,9.26,4.95,9.94,5.32,4.87,7.51,4.477,2.173,1.51518,3.439379048,0.153981,15.3981
H02,11.49,7.13,4.23,8.18,4.37,3.54,6.32,3.377,1.26,0.680339,4.115901688,0.138994,13.8994
H05,14.34,9.25,5.12,10.29,5.26,4.21,7.43,3.883,1.934,2.12971,3.915039918,0.152021,15.2021
H06,14.74,8.87,5.46,11.28,5.64,4.73,7.3,4.186,1.977,1.02921,3.670186335,0.153634,15.3634
H07,14.17,9.19,4.45,10.1,5.62,4.21,7.67,4.042,1.753,1.31604,3.914621475,0.158229,15.8229
H08,14.92,9.52,4.6,10.62,5.28,4.18,7.53,4.162,2.185,2.80378,4.750864969,0.197731,19.7731
H09,14.27,9.21,5.1,10.22,5.42,4.55,7.22,3.878,1.98,1.62511,4.750567303,0.184227,18.4227
H10,19.22,12.45,7.38,13.21,7.31,6.19,8.18,6.037,4.233,4.07436,3.097979129,0.187025,18.7025
H11,17.74,11.5,6.18,12.28,7.04,5.52,7.61,5.603,3.657,4.44338,3.050954846,0.170945,17.0945
H12,18.55,11.58,6.37,12.6,7.24,6.29,7.21,5.788,3.857,4.60354,3.247909468,0.187989,18.7989
